월.일,최대순간풍향,최저기온,최고기온,일강우량,최저습도,최고습도,최저기압,최고기압
2017-01-01,163.1 / SSE,3,14.4,0,57,92,( : ),( : )
2017-01-02,115.3 / ESE,7.8,15,0,74,97,( : ),( : )
2017-01-03,135.0 / SE,5.9,15.7,0,54,94,( : ),( : )
2017-01-04,112.5 / ESE,3,15.7,0,41,85,( : ),( : )
2017-01-05,95.6 / E,7.5,14.3,0,55,90,( : ),( : )
2017-01-06,50.6 / NE,9.2,13.6,0.5,57,90,( : ),( : )
2017-01-07,33.8 / NE,9.8,13.2,13.5,66,94,( : ),( : )
2017-01-08,337.5 / NNW,8.5,14.7,6,54,97,( : ),( : )
2017-01-09,300.9 / WNW,2.5,9.5,0,47,88,( : ),( : )
2017-01-10,286.9 / WNW,1.5,10.5,0,38,95,( : ),( : )
2017-01-11,2.8 / N,1.1,9,0,41,91,( : ),( : )
2017-01-12,298.1 / WNW,0.9,9.4,0,40,91,( : ),( : )
2017-01-13,275.6 / W,1.3,9.5,0,42,70,( : ),( : )
2017-01-14,289.7 / WNW,0.1,5.3,0,47,65,( : ),( : )
2017-01-15,298.1 / WNW,-0.8,8.2,0,27,80,( : ),( : )
2017-01-16,326.3 / NNW,-0.6,9.4,0,46,85,( : ),( : )
2017-01-17,90.0 / E,0.9,10.9,0,47,91,( : ),( : )
2017-01-18,45.0 / NE,2.5,11.7,0,59,90,( : ),( : )
2017-01-19,326.3 / NNW,3.6,11.5,0,23,87,( : ),( : )
2017-01-20,292.5 / WNW,-0.5,5.5,3,41,93,( : ),( : )
2017-01-21,281.3 / WNW,-1.6,7.8,0,45,91,( : ),( : )
2017-01-22,270.0 / W,-0.5,4.8,1,44,94,( : ),( : )
2017-01-23,309.4 / NW,-1.2,3.4,0,52,83,( : ),( : )
2017-01-24,303.8 / NW,-1,5.7,0,48,87,( : ),( : )
2017-01-25,140.6 / SE,-0.6,9.9,0,48,88,( : ),( : )
2017-01-26,112.5 / ESE,-0.1,11.7,0,46,90,( : ),( : )
2017-01-27,337.5 / NNW,2,12.4,0,24,84,( : ),( : )
2017-01-28,165.9 / SSE,2,12.7,0,55,91,( : ),( : )
2017-01-29,253.1 / WSW,9.3,17.6,13,71,97,( : ),( : )
2017-01-30,345.9 / NNW,-0.2,12.5,0,32,84,( : ),( : )
2017-01-31,101.3 / ESE,-1.4,9.4,0,54,89,( : ),( : )
2017-02-01,334.7 / NNW,1.4,9.5,0,36,93,( : ),( : )
2017-02-02,351.6 / N,0.5,12.8,0,27,88,( : ),( : )
2017-02-03,61.9 / ENE,2.5,13.8,0,28,73,( : ),( : )
2017-02-04,270.0 / W,7,12,22,46,99,( : ),( : )
2017-02-05,253.1 / WSW,5,11.8,0.5,57,97,( : ),( : )
2017-02-06,247.5 / WSW,0.7,10.8,0,24,74,( : ),( : )
2017-02-07,222.2 / SW,1.1,11.8,0,29,79,( : ),( : )
2017-02-08,298.1 / WNW,2.5,10.5,0,14,84,( : ),( : )
2017-02-09,286.9 / WNW,-1.6,3.6,1.5,52,93,( : ),( : )
2017-02-10,295.3 / WNW,-2.4,3.1,4,54,95,( : ),( : )
2017-02-11,300.9 / WNW,-2.4,3.9,2.5,53,97,( : ),( : )
2017-02-12,303.8 / NW,-1.1,7.3,0,26,84,( : ),( : )
2017-02-13,281.3 / WNW,-1.5,12,0,16,81,( : ),( : )
2017-02-14,312.2 / NW,2.7,12.7,0,12,82,( : ),( : )
2017-02-15,160.3 / SSE,1.4,14.5,0,30,88,( : ),( : )
2017-02-16,194.1 / SSW,1.9,15.4,1,58,90,( : ),( : )
2017-02-17,334.7 / NNW,6.3,19,2,23,94,( : ),( : )
2017-02-18,348.8 / N,-0.2,12,0,16,76,( : ),( : )
2017-02-19,191.3 / SSW,-0.7,13.8,0,46,82,( : ),( : )
2017-02-20,0.0 / N,2.9,14.6,2.5,11,97,( : ),( : )
2017-02-21,129.4 / SE,-0.2,11.5,0,40,80,( : ),( : )
2017-02-22,345.9 / NNW,6.9,15,64,70,98,( : ),( : )
2017-02-23,275.6 / W,0.5,9.4,0,22,84,( : ),( : )
2017-02-24,171.6 / S,-0.9,9.8,0,27,83,( : ),( : )
2017-02-25,317.8 / NW,-0.2,10.5,0,32,77,( : ),( : )
2017-02-26,284.1 / WNW,2.2,12.6,0,22,66,( : ),( : )
2017-02-27,233.4 / SW,1.5,12.4,0,36,77,( : ),( : )
2017-02-28,149.1 / SSE,1.7,14,0,23,74,( : ),( : )
