,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Null,선팔,소통,고등학생,겨울,파마,데일리,인스타그램,02,가르마펌,고딩,첫줄좋반,고2,좋아요반사,울산,고3,맞팔,04,다렉환영,선팔하면맞팔,숏패딩,추워,일상,03,고1,좋반,,,,,
1,namvely_90,스노우보드,vans,vanshistandard,snowboard,스노우보딩,반스하이스탠다드,vanskr,반스대회,,,,,,,,,,,,,,,,,,,,,,
2,92_bb,첫줄안녕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sojin_0106,일상,박소진,비오는날,행사,두치,겨울,,,,,,,,,,,,,,,,,,,,,,,,
4,gpdls1025,집으로,탈춤,고성오광대보존회,일상,한주,대학생,공유,겨울전수,겨울,고성오광대,돼지일기,일기,일정,학생,최고,일주일,만남,끝,합숙,탈,소중한사람들,행복,고성,방학,,,,,,
5,elly_ajk,겨울,셀피,셀카,한국겨울,한국,😭,방학,공연준비,적응안돼,,,,,,,,,,,,,,,,,,,,,
6,yool_lin0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,_woong_stagram_,데일리,오오티디,선팔,셀카,인친,카페,감기조심,셀스타그램,좋아요,겨울,팔로우,데일리룩,소통,좋아요반사,맛집,선팔하면맞팔,맞팔,셀피,먹방,,,,,,,,,,,
8,mingramii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,changbi_insta,김경서,책따세,똑같은빨강은없다,겨울,이제야언니에게,추천도서,최진영,,,,,,,,,,,,,,,,,,,,,,,
11,geun_bro on Instagra,현대미술관,일상,겨울,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,hui_stagram,follow,친구,삼청동,94년생,like4likes,안국역카페,97년생,셀스타그램,술그램,데일리룩,likeforlikes,likeforfollow,사진,얼스타그램,빵집,빵순이,안국,ootd,겨울,1월,팔로우,selca,00년생,알콜,93년생,98년생,95년생,96년생,99년생,서울
